time,open,high,low,close,volume
2021-02-23 09:22:00,186.09,186.09,186.09,186.09,564
2021-02-23 09:21:00,186.1,186.1,186.1,186.1,416
2021-02-23 09:20:00,185.0,185.99,185.0,185.99,1040
2021-02-23 09:19:00,185.0,185.1,185.0,185.0,661
2021-02-23 09:17:00,185.57,185.57,185.57,185.57,1088
2021-02-23 09:15:00,185.8,185.8,185.8,185.8,819
2021-02-23 09:14:00,185.75,185.75,185.75,185.75,828
2021-02-23 09:13:00,185.99,185.99,185.99,185.99,474
2021-02-23 09:12:00,186.1,186.1,186.0,186.0,1398
2021-02-23 09:11:00,186.1,186.1,186.1,186.1,768
2021-02-23 09:10:00,186.26,186.26,186.26,186.26,444
2021-02-23 09:09:00,186.4999,186.4999,186.4999,186.4999,703
2021-02-23 09:08:00,186.01,186.01,186.0,186.0,2514
2021-02-23 09:07:00,186.5,186.5,186.5,186.5,703
2021-02-23 09:04:00,186.78,187.5,186.78,187.5,656
2021-02-23 09:03:00,187.0,187.0,187.0,187.0,610
2021-02-23 09:02:00,187.25,187.25,187.25,187.25,451
2021-02-23 09:00:00,188.11,188.11,187.1717,187.1717,670
2021-02-23 08:59:00,187.16,187.16,187.16,187.16,1092
2021-02-23 08:58:00,187.16,187.16,187.0,187.0,893
2021-02-23 08:57:00,188.11,188.11,187.0,187.0,224
2021-02-23 08:54:00,187.2,187.2,187.2,187.2,892
2021-02-23 08:53:00,187.24,187.24,187.24,187.24,1424
2021-02-23 08:52:00,187.76,188.0,187.25,187.2654,1064
2021-02-23 08:51:00,187.3,187.75,187.3,187.75,1028
2021-02-23 08:50:00,187.1327,187.1327,187.1327,187.1327,489
2021-02-23 08:48:00,188.67,188.67,188.53,188.53,1229
2021-02-23 08:46:00,189.0,189.0,189.0,189.0,525
2021-02-23 08:45:00,189.0,189.0,189.0,189.0,526
2021-02-23 08:43:00,189.11,189.4,189.11,189.4,964
2021-02-23 08:41:00,189.11,189.11,189.11,189.11,213
2021-02-23 08:39:00,189.23,189.23,189.05,189.05,971
2021-02-23 08:38:00,189.2281,189.2281,189.2281,189.2281,191
2021-02-23 08:35:00,189.4,189.4,189.21,189.21,1235
2021-02-23 08:34:00,189.3,189.3,189.3,189.3,602
2021-02-23 08:30:00,189.27,189.27,189.27,189.27,273
2021-02-23 08:28:00,189.03,189.03,189.03,189.03,1730
2021-02-23 08:24:00,189.26,190.3078,189.26,190.3078,414
2021-02-23 08:23:00,189.5802,189.6,189.0165,189.0165,796
2021-02-23 08:19:00,189.0,189.0,188.67,188.67,504
2021-02-23 08:18:00,189.5,189.5,189.0,189.0,1653
2021-02-23 08:17:00,189.5,189.5,189.5,189.5,456
2021-02-23 08:16:00,189.6104,189.6104,189.5,189.5,576
2021-02-23 08:15:00,189.5,189.5,189.5,189.5,208
2021-02-23 08:14:00,190.502,190.502,189.5,189.5,750
2021-02-23 08:13:00,190.5,190.5,190.5,190.5,178
2021-02-23 08:12:00,190.0001,190.0001,190.0,190.0,638
2021-02-23 08:11:00,190.0,190.0,190.0,190.0,202
2021-02-23 08:10:00,190.0,190.0,190.0,190.0,217
2021-02-23 08:09:00,190.0,190.75,190.0,190.75,983
2021-02-23 08:08:00,190.5,190.5,190.5,190.5,342
2021-02-23 08:06:00,190.8613,190.87,190.8613,190.87,617
2021-02-23 08:05:00,190.0,190.0,190.0,190.0,205
2021-02-23 08:04:00,190.25,190.25,190.25,190.25,245
2021-02-23 08:02:00,190.9924,190.9924,190.9924,190.9924,130
2021-02-23 08:01:00,190.5,191.87,188.224,190.9862,14544
2021-02-23 08:00:00,189.98,190.0,189.98,190.0,834
2021-02-23 07:55:00,189.5,189.5,189.5,189.5,265
2021-02-23 07:52:00,190.0,190.0,189.98,189.98,400
2021-02-23 07:51:00,189.98,190.0,189.98,190.0,821
2021-02-23 07:48:00,188.15,188.15,188.0,188.0,1233
2021-02-23 07:47:00,188.5,188.5,188.5,188.5,345
2021-02-23 07:45:00,189.0,189.0,189.0,189.0,303
2021-02-23 07:42:00,189.0,189.0,188.5,188.5,767
2021-02-23 07:41:00,189.0,189.0,189.0,189.0,770
2021-02-23 07:36:00,189.9,189.9,189.9,189.9,574
2021-02-23 07:33:00,190.0,190.0,190.0,190.0,102
2021-02-23 07:32:00,190.0,190.02,190.0,190.0,2958
2021-02-23 07:29:00,190.0,190.0,190.0,190.0,171
2021-02-23 07:28:00,190.08,190.08,190.0,190.0,519
2021-02-23 07:26:00,190.4,190.4,190.0,190.0,1005
2021-02-23 07:24:00,190.27,190.27,190.25,190.26,786
2021-02-23 07:22:00,190.52,191.0,190.52,191.0,715
2021-02-23 07:20:00,191.0,191.0,191.0,191.0,287
2021-02-23 07:18:00,191.65,191.87,191.65,191.87,675
